order_id,order_date,store_name,order_total,order_url,item_name,budget_category,category_source,unit_qty,weight_qty,weight_unit,unit_cost,line_total,original_line_total
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Fontaine Family Organic Lean Ground Beef,Groceries,exact,1,,,$35.99,$35.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Green Seedless Grapes,Groceries,verified_cache,1,,,$10.99,$10.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Kirkland Signature Frozen Tail-On Raw Shrimp,Groceries,exact,1,,,$18.99,$18.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Kirkland Signature Organic Chia Seeds,Outdoor Supplies,exact,1,,,$13.99,$13.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Kiwi,Groceries,default,1,,,$11.99,$11.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Premier Protein Vanilla High Protein Shake,Health & Fitness,exact,1,,,$49.99,$49.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Quaker Harvest Crunch Original Granola Cereal,Clothing,exact,1,,,$13.99,$13.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Red Potato,Groceries,exact,1,,,$8.99,$8.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Romaine Lettuce Hearts,Groceries,exact,1,,,$7.99,$7.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Royal Habour Frozen Haddock Fillets,Groceries,exact,1,,,$31.99,$31.99,
032819689522635511776,2026-03-28,Costco,$283.43,https://www.instacart.ca/store/orders/032819689522635511776,Snowcrest Foods Organic Sliced Strawberries,Indoor Supplies,exact,1,,,$15.99,$15.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,1% Milk,Groceries,exact,1,,,$6.49,$6.49,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Avocado,Groceries,default,1,,,$10.99,$10.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Better Than Bouillon Organic Bouillon Chicken Base,Groceries,exact,1,,,$14.99,$14.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Boursin Garlic & Fine Herbs Cheese,Groceries,exact,1,,,$14.99,$14.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Green Seedless Grapes,Groceries,verified_cache,1,,,$13.99,$13.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Kirkland Signature Canned Chicken Breast,Groceries,exact,1,,,$22.99,$22.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Kirkland Signature Drawstring Garbage Bags,Indoor Supplies,exact,1,,,$23.99,$23.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Kirkland Signature Mini Brioche Bun,Groceries,default,1,,,$7.99,$7.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Kirkland Signature Plain Greek Yogurt,Groceries,exact,1,,,$12.99,$12.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Kiwi,Groceries,default,1,,,$11.99,$11.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,LOVE CORN Sea Salt Crunchy Corn Multi Pack,Groceries,default,1,,,$14.99,$14.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Mini Cucumber,Groceries,default,1,,,$5.99,$5.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Natural Bakery Canadian Rye Bread,Groceries,exact,1,,,$7.99,$7.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Naturipe Farms Blueberries,Groceries,exact,1,,,$12.99,$12.99,
032119630680704507136,2026-03-21,Costco,$226.30,https://www.instacart.ca/store/orders/032119630680704507136,Pork Tenderloin,Groceries,exact,,2.17,kg,$9.99,$21.68,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,1% Milk,Groceries,exact,1,,,$6.49,$6.49,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Avocado,Groceries,default,1,,,$10.99,$10.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Bounty P24 Plus Select-A-Size Paper Towels,Indoor Supplies,exact,1,,,$28.49,$28.49,$34.99
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Boursin Garlic & Fine Herbs Cheese,Groceries,exact,1,,,$14.99,$14.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Fontaine Family Organic Lean Ground Beef,Groceries,exact,1,,,$35.99,$35.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Green Seedless Grapes,Groceries,verified_cache,1,,,$13.99,$13.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Heavenly Hunks Gluten Free Drizzle Carrot Cake,Groceries,default,1,,,$10.49,$10.49,$12.99
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Kirkland Signature Boneless Skinless & Seasoned Chicken Breast,Groceries,exact,1,,,$32.99,$32.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Kirkland Signature Plain Greek Yogurt,Groceries,exact,1,,,$12.99,$12.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Mixed Bell Peppers,Groceries,default,1,,,$10.99,$10.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Naturipe Farms Blueberries,Groceries,exact,1,,,$12.99,$12.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Nonni's Raspberry Biscotti Bites,Groceries,exact,1,,,$11.49,$11.49,$14.99
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Silver Hills Bakery The Big 16 Bread,Groceries,exact,1,,,$8.99,$8.99,
031319560019794509276,2026-03-13,Costco,$249.67,https://www.instacart.ca/store/orders/031319560019794509276,Snowcrest Foods Organic Sliced Strawberries,Indoor Supplies,exact,1,,,$15.99,$15.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,1% Milk,Groceries,exact,1,,,$6.49,$6.49,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Bonne Maman Strawberry Jam,Groceries,exact,1,,,$12.99,$12.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,BUILT Cookies N' Cream & Peanut Butter Cup Puff Protein Bars,Groceries,exact,1,,,$31.99,$31.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Connies Kitchen Spinach & Feta Chicken Sausage,Groceries,exact,1,,,$18.99,$18.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Fontaine Family Organic Lean Ground Beef,Groceries,exact,1,,,$35.99,$35.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Green Seedless Grapes,Groceries,verified_cache,1,,,$13.99,$13.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Kirkland Signature 2-Ply Bath Tissue,Indoor Supplies,exact,1,,,$25.99,$25.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Kirkland Signature Boneless Skinless & Seasoned Chicken Breast,Groceries,exact,1,,,$32.99,$32.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Kirkland Signature Plain Greek Yogurt,Groceries,exact,1,,,$12.99,$12.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Kirkland Signature Ultra Soft Facial Tissues,Indoor Supplies,exact,1,,,$24.99,$24.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Lactantia Chocolate Milk,Groceries,exact,1,,,$11.49,$11.49,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Natural Bakery Canadian Rye Bread,Groceries,exact,1,,,$7.99,$7.99,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Que Pasa Organic Chile & Lime Rolled Tortilla Chips,Groceries,exact,1,,,$6.99,$6.99,$8.99
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Raspberries Package,Groceries,exact,1,,,$6.59,$6.59,
030719506037588510960,2026-03-07,Costco,$298.02,https://www.instacart.ca/store/orders/030719506037588510960,Ziploc Sandwich Bags,Indoor Supplies,fuzzy,1,,,$21.99,$21.99,
